Question,Question_text,Type,N_respondents,Label_confidence,Category,Count,Percentage
Q6,When in the semester did you use it most?,single-select,92,instrument,I only tried it once or twice,13,14.1
Q6,When in the semester did you use it most?,single-select,92,instrument,Mostly at the beginning of the course,13,14.1
Q7,What did you use the Virtual TA for?,multi-select,91,instrument,Clarifying lecture concepts,61,67.0
Q7,What did you use the Virtual TA for?,multi-select,91,instrument,Preparing for the midterm(s),51,56.0
Q7,What did you use the Virtual TA for?,multi-select,91,instrument,Checking or debugging my homework solutions,40,44.0
Q7,What did you use the Virtual TA for?,multi-select,91,instrument,Just curious / playing with it,34,37.4
Q7,What did you use the Virtual TA for?,multi-select,91,instrument,Clarifying homework problems before attempting,31,34.1
Q7,What did you use the Virtual TA for?,multi-select,91,instrument,Preparing for the final exam,28,30.8
Q7,What did you use the Virtual TA for?,multi-select,91,instrument,Understanding solutions after grading,27,29.7
Q7,What did you use the Virtual TA for?,multi-select,91,instrument,Clarifying lab instructions or lab analysis,24,26.4
Q7,What did you use the Virtual TA for?,multi-select,91,instrument,Preparing for quizzes,5,5.5
Q8,Typical session length with the Virtual TA (average time per session),single-select,92,instrument,15-30 minutes,27,29.3
Q8,Typical session length with the Virtual TA (average time per session),single-select,92,instrument,5-15 minutes,21,22.8
Q8,Typical session length with the Virtual TA (average time per session),single-select,92,instrument,Less than 5 minutes,21,22.8
Q8,Typical session length with the Virtual TA (average time per session),single-select,92,instrument,30-60 minutes,18,19.6
Q8,Typical session length with the Virtual TA (average time per session),single-select,92,instrument,More than 60 minutes,5,5.4
Q9,Learning & understanding,multi-select,92,instrument,Deeper concept understanding,56,60.9
Q9,Learning & understanding,multi-select,92,instrument,Connected topics better,44,47.8
Q9,Learning & understanding,multi-select,92,instrument,Gained subject confidence,43,46.7
Q9,Learning & understanding,multi-select,92,instrument,No effect on learning,20,21.7
Q10,Efficiency & workload,multi-select,92,instrument,Less time stuck,65,70.7
Q10,Efficiency & workload,multi-select,92,instrument,More efficient studying,42,45.7
Q10,Efficiency & workload,multi-select,92,instrument,Saved overall time,35,38.0
Q10,Efficiency & workload,multi-select,92,instrument,Replaced other resources,25,27.2
Q10,Efficiency & workload,multi-select,92,instrument,No efficiency benefit,17,18.5
Q11,Study strategies,single-select,91,instrument,Used VTA after self-attempt,48,52.7
Q11,Study strategies,single-select,91,instrument,Attempted harder problems,17,18.7
Q11,Study strategies,single-select,91,instrument,Used VTA before self-attempt,13,14.3
Q11,Study strategies,single-select,91,instrument,Accepted answers uncritically,7,7.7
Q11,Study strategies,single-select,91,instrument,Led to procrastination,6,6.6
Q12,Perceived learning outcomes,multi-select,90,instrument,Better on homework,49,54.4
Q12,Perceived learning outcomes,multi-select,90,instrument,Learned concepts more solidly,38,42.2
Q12,Perceived learning outcomes,multi-select,90,instrument,Grade would have been lower without it,27,30.0
Q12,Perceived learning outcomes,multi-select,90,instrument,Better on quizzes and exams,24,26.7
Q13,Depth vs. superficial understanding,single-select,92,instrument,"Encouraged me to ask ""why"", not just ""what""",34,37.0
Q13,Depth vs. superficial understanding,single-select,92,instrument,Changed how I think about problem solving,23,25.0
Q13,Depth vs. superficial understanding,single-select,92,instrument,Felt I understood more than I actually did,18,19.6
Q13,Depth vs. superficial understanding,single-select,92,instrument,Worry it may weaken independent problem solving,17,18.5
Q14,"I sometimes encountered responses from the Virtual TA that were unclear, incomplete, or incorrect.",single-select,92,instrument,Neither agree nor disagree,37,40.2
Q14,"I sometimes encountered responses from the Virtual TA that were unclear, incomplete, or incorrect.",single-select,92,instrument,Agree,32,34.8
Q14,"I sometimes encountered responses from the Virtual TA that were unclear, incomplete, or incorrect.",single-select,92,instrument,Disagree,16,17.4
Q14,"I sometimes encountered responses from the Virtual TA that were unclear, incomplete, or incorrect.",single-select,92,instrument,Strongly agree,6,6.5
Q14,"I sometimes encountered responses from the Virtual TA that were unclear, incomplete, or incorrect.",single-select,92,instrument,Strongly disagree,1,1.1
Q15,Self-reported adherence,single-select,90,instrument,Always rule-compliant,43,47.8
Q15,Self-reported adherence,single-select,90,instrument,Used to improve own work,40,44.4
Q15,Self-reported adherence,single-select,90,instrument,Possibly not approved,7,7.8
Q16,Would you like to have a Virtual TA (or something similar) in other technical courses?,single-select,93,instrument,Yes,49,52.7
Q16,Would you like to have a Virtual TA (or something similar) in other technical courses?,single-select,93,instrument,Not sure / It depends on the design,37,39.8
Q16,Would you like to have a Virtual TA (or something similar) in other technical courses?,single-select,93,instrument,No,7,7.5
Q17,Would you recommend future students in this course make active use of the Virtual TA?,single-select,93,instrument,Yes,67,72.0
Q17,Would you recommend future students in this course make active use of the Virtual TA?,single-select,93,instrument,Not sure / It depends on the design,22,23.7
Q17,Would you recommend future students in this course make active use of the Virtual TA?,single-select,93,instrument,No,4,4.3
