ID,Level,Level_ord,Familiarity,Familiarity_ord,AI_before,AI_before_ord,VTA_semester_use,VTA_freq/intensity,VTA_session_len,VTA_session_len_ord,VTA_Usage,vta_used_binary,benefit_learning,benefit_efficiency
64404,Junior,2,Moderate,2.0,A few times per month,2,1-2 times total,1,Less than 5 minutes,1,Clarifying lecture concepts;Preparing for midterms;Clarifying Lab instructions or lab analysis;,Used VTA,No benefit,No efficiency benefit
71200,Sophomore,1,High,3.0,A few times per semester,1,1-2 times total,1,5-15 minutes,2,Clarifying lecture concepts;Clarifying homework problems before attempting them;Checking or debugging my homework solutions;Preparing for final exam;Clarifying Lab instructions or lab analysis;,Used VTA,Reported benefit,Efficiency benefit
36254,Sophomore,1,High,3.0,A few times per semester,1,1-2 times total,1,5-15 minutes,2,Clarifying lecture concepts;Clarifying homework problems before attempting them;Checking or debugging my homework solutions;Clarifying Lab instructions or lab analysis;,Used VTA,Reported benefit,Efficiency benefit
15507,Senior,3,High,3.0,Daily or almost daily,4,Never,0,Less than 5 minutes,1,Just curious / playing with it.;,Never / Unaware,Reported benefit,No efficiency benefit
60196,Senior,3,High,3.0,A few times per week,3,1-2 times per week,3,5-15 minutes,2,Clarifying lecture concepts;Preparing for quizes;Preparing for midterms;Preparing for final exam;Clarifying Lab instructions or lab analysis;,Used VTA,Reported benefit,Efficiency benefit
75801,Senior,3,High,3.0,A few times per month,2,A few times per month,2,More than 60 minutes,5,Clarifying lecture concepts;Checking or debugging my homework solutions;,Used VTA,No benefit,Efficiency benefit
41691,Senior,3,Moderate,2.0,A few times per week,3,A few times per month,2,15-30 minutes,3,Clarifying lecture concepts;Clarifying homework problems before attempting them;Checking or debugging my homework solutions;Understanding solutions after homework was graded;Clarifying Lab instructions or lab analysis;Just curious / playing with it.;,Used VTA,Reported benefit,Efficiency benefit
38190,Junior,2,Moderate,2.0,A few times per week,3,A few times per month,2,15-30 minutes,3,Preparing for final exam;Preparing for midterms;Preparing for quizes;Clarifying lecture concepts;,Used VTA,Reported benefit,Efficiency benefit
51230,Senior,3,Moderate,2.0,A few times per month,2,Never,0,Less than 5 minutes,1,Just curious / playing with it.;,Never / Unaware,No benefit,No efficiency benefit
79716,Junior,2,Moderate,2.0,A few times per week,3,A few times per month,2,15-30 minutes,3,Clarifying lecture concepts;Preparing for midterms;Preparing for final exam;Clarifying Lab instructions or lab analysis;,Used VTA,Reported benefit,Efficiency benefit
50158,Junior,2,Low,1.0,A few times per week,3,I was not aware of the course chatbot( Virtual TA),0,Less than 5 minutes,1,Clarifying Lab instructions or lab analysis;,Never / Unaware,No benefit,No efficiency benefit
24176,Sophomore,1,High,3.0,A few times per week,3,1-2 times total,1,Less than 5 minutes,1,Preparing for midterms;Preparing for final exam;,Used VTA,No benefit,No efficiency benefit
84233,Senior,3,Moderate,2.0,A few times per semester,1,A few times per month,2,15-30 minutes,3,Clarifying lecture concepts;Preparing for quizes;,Used VTA,Reported benefit,Efficiency benefit
74605,Senior,3,Moderate,2.0,A few times per week,3,A few times per month,2,30-60 minutes,4,Preparing for quizes;Preparing for midterms;Preparing for final exam;Clarifying Lab instructions or lab analysis;,Used VTA,Reported benefit,Efficiency benefit
15014,Junior,2,High,3.0,A few times per semester,1,1-2 times total,1,15-30 minutes,3,Clarifying lecture concepts;,Used VTA,Reported benefit,Efficiency benefit
23426,Sophomore,1,High,3.0,A few times per week,3,1-2 times per week,3,5-15 minutes,2,Clarifying lecture concepts;Clarifying homework problems before attempting them;Understanding solutions after homework was graded;Preparing for quizes;Preparing for midterms;Preparing for final exam;Clarifying Lab instructions or lab analysis;,Used VTA,Reported benefit,Efficiency benefit
17990,Junior,2,Moderate,2.0,A few times per month,2,A few times per month,2,5-15 minutes,2,Clarifying lecture concepts;Preparing for quizes;Preparing for midterms;Preparing for final exam;,Used VTA,Reported benefit,Efficiency benefit
46573,Junior,2,Moderate,2.0,A few times per semester,1,A few times per month,2,30-60 minutes,4,Clarifying lecture concepts;Understanding solutions after homework was graded;Preparing for quizes;Preparing for midterms;Preparing for final exam;,Used VTA,Reported benefit,Efficiency benefit
13957,Sophomore,1,Moderate,2.0,A few times per month,2,1-2 times per week,3,15-30 minutes,3,Clarifying lecture concepts;Clarifying homework problems before attempting them;Checking or debugging my homework solutions;Preparing for quizes;,Used VTA,Reported benefit,Efficiency benefit
82036,Junior,2,Low,1.0,A few times per semester,1,A few times per month,2,Less than 5 minutes,1,Clarifying lecture concepts;,Used VTA,Reported benefit,Efficiency benefit
45679,Sophomore,1,Moderate,2.0,A few times per month,2,1-2 times total,1,Less than 5 minutes,1,Just curious / playing with it.;,Used VTA,No benefit,No efficiency benefit
22909,Senior,3,Moderate,2.0,A few times per semester,1,A few times per month,2,5-15 minutes,2,Clarifying homework problems before attempting them;Preparing for quizes;Preparing for midterms;Preparing for final exam;,Used VTA,No benefit,Efficiency benefit
83269,Senior,3,Moderate,2.0,A few times per semester,1,Never,0,Less than 5 minutes,1,Clarifying lecture concepts;Preparing for quizes;Preparing for midterms;Preparing for final exam;,Never / Unaware,Reported benefit,Efficiency benefit
36642,Sophomore,1,Moderate,2.0,A few times per month,2,A few times per month,2,15-30 minutes,3,Clarifying lecture concepts;Clarifying homework problems before attempting them;Preparing for midterms;Preparing for final exam;Clarifying Lab instructions or lab analysis;Just curious / playing with it.;,Used VTA,Reported benefit,Efficiency benefit
67852,Junior,2,Moderate,2.0,A few times per week,3,1-2 times total,1,Less than 5 minutes,1,Just curious / playing with it.;,Used VTA,No benefit,No efficiency benefit
71842,Sophomore,1,Very HIgh,4.0,A few times per week,3,1-2 times total,1,Less than 5 minutes,1,Clarifying lecture concepts;,Used VTA,Reported benefit,Efficiency benefit
27197,Senior,3,Moderate,2.0,A few times per week,3,1-2 times total,1,5-15 minutes,2,Clarifying lecture concepts;Checking or debugging my homework solutions;Clarifying Lab instructions or lab analysis;Preparing for midterms;,Used VTA,Reported benefit,Efficiency benefit
46604,Junior,2,Moderate,2.0,A few times per semester,1,A few times per month,2,5-15 minutes,2,Clarifying lecture concepts;Clarifying homework problems before attempting them;Preparing for midterms;Preparing for quizes;Just curious / playing with it.;,Used VTA,No benefit,Efficiency benefit
10702,Junior,2,Moderate,2.0,A few times per semester,1,A few times per month,2,15-30 minutes,3,Preparing for midterms;Preparing for quizes;Preparing for final exam;,Used VTA,Reported benefit,Efficiency benefit
49471,Junior,2,High,3.0,A few times per month,2,A few times per month,2,5-15 minutes,2,Clarifying lecture concepts;,Used VTA,No benefit,Efficiency benefit
74066,Junior,2,Moderate,2.0,A few times per month,2,1-2 times total,1,Less than 5 minutes,1,Clarifying lecture concepts;,Used VTA,Reported benefit,Efficiency benefit
24383,Junior,2,High,3.0,Daily or almost daily,4,1-2 times total,1,Less than 5 minutes,1,Just curious / playing with it.;Clarifying Lab instructions or lab analysis;,Used VTA,No benefit,No efficiency benefit
20391,Senior,3,Moderate,2.0,A few times per month,2,A few times per month,2,5-15 minutes,2,Clarifying lecture concepts;Checking or debugging my homework solutions;Understanding solutions after homework was graded;Preparing for quizes;Preparing for midterms;Preparing for final exam;Clarifying Lab instructions or lab analysis;,Used VTA,Reported benefit,Efficiency benefit
30894,Junior,2,High,3.0,Daily or almost daily,4,Never,0,Less than 5 minutes,1,Just curious / playing with it.;,Never / Unaware,No benefit,No efficiency benefit
59986,Junior,2,High,3.0,Daily or almost daily,4,1-2 times total,1,15-30 minutes,3,Clarifying lecture concepts;Checking or debugging my homework solutions;,Used VTA,No benefit,No efficiency benefit
15908,Sophomore,1,Very HIgh,4.0,A few times per week,3,1-2 times total,1,5-15 minutes,2,Just curious / playing with it.;,Used VTA,No benefit,No efficiency benefit
26344,Sophomore,1,Very HIgh,4.0,A few times per month,2,A few times per month,2,5-15 minutes,2,Clarifying homework problems before attempting them;Checking or debugging my homework solutions;Clarifying lecture concepts;,Used VTA,Reported benefit,Efficiency benefit
75577,Sophomore,1,Moderate,2.0,A few times per month,2,1-2 times per week,3,15-30 minutes,3,Just curious / playing with it.;,Used VTA,No benefit,No efficiency benefit
18896,Junior,2,High,3.0,A few times per week,3,1-2 times total,1,Less than 5 minutes,1,Understanding solutions after homework was graded;,Used VTA,No benefit,No efficiency benefit
33380,Senior,3,Moderate,2.0,Daily or almost daily,4,1-2 times total,1,Less than 5 minutes,1,Clarifying lecture concepts;Just curious / playing with it.;,Used VTA,Reported benefit,Efficiency benefit
38104,Junior,2,Moderate,2.0,A few times per month,2,1-2 times total,1,Less than 5 minutes,1,Preparing for quizes;Clarifying lecture concepts;Clarifying Lab instructions or lab analysis;,Used VTA,Reported benefit,Efficiency benefit
96070,Sophomore,1,Low,1.0,A few times per month,2,1-2 times total,1,5-15 minutes,2,Just curious / playing with it.;Clarifying lecture concepts;,Used VTA,No benefit,No efficiency benefit
23311,Junior,2,High,3.0,Daily or almost daily,4,A few times per month,2,30-60 minutes,4,Checking or debugging my homework solutions;Clarifying Lab instructions or lab analysis;,Used VTA,No benefit,Efficiency benefit
87214,Junior,2,Moderate,2.0,A few times per week,3,1-2 times total,1,5-15 minutes,2,Clarifying lecture concepts;,Used VTA,Reported benefit,No efficiency benefit
59221,Sophomore,1,Moderate,2.0,A few times per week,3,Never,0,Less than 5 minutes,1,Clarifying lecture concepts;,Never / Unaware,No benefit,No efficiency benefit
82202,Junior,2,High,3.0,Daily or almost daily,4,1-2 times total,1,5-15 minutes,2,Clarifying lecture concepts;Just curious / playing with it.;,Used VTA,Reported benefit,Efficiency benefit
69175,Junior,2,Moderate,2.0,A few times per week,3,A few times per month,2,15-30 minutes,3,Clarifying lecture concepts;Clarifying homework problems before attempting them;Preparing for midterms;Preparing for final exam;,Used VTA,No benefit,Efficiency benefit
85179,Senior,3,Moderate,2.0,A few times per week,3,1-2 times total,1,5-15 minutes,2,Preparing for quizes;,Used VTA,Reported benefit,Efficiency benefit
77859,Junior,2,Very HIgh,4.0,Never,0,Never,0,Less than 5 minutes,1,Just curious / playing with it.;,Never / Unaware,No benefit,No efficiency benefit
14996,Junior,2,Moderate,2.0,A few times per semester,1,1-2 times total,1,Less than 5 minutes,1,Clarifying lecture concepts;Clarifying homework problems before attempting them;,Used VTA,No benefit,No efficiency benefit
82525,Junior,2,High,3.0,A few times per week,3,Never,0,Less than 5 minutes,1,Preparing for midterms;,Never / Unaware,No benefit,No efficiency benefit
84049,Junior,2,High,3.0,A few times per week,3,1-2 times per week,3,30-60 minutes,4,Clarifying lecture concepts;Clarifying homework problems before attempting them;Preparing for midterms;Preparing for quizes;Preparing for final exam;Clarifying Lab instructions or lab analysis;Just curious / playing with it.;,Used VTA,Reported benefit,Efficiency benefit
16800,Senior,3,Moderate,2.0,A few times per month,2,1-2 times per week,3,15-30 minutes,3,Checking or debugging my homework solutions;Preparing for quizes;Understanding solutions after homework was graded;,Used VTA,No benefit,Efficiency benefit
74576,Junior,2,Moderate,2.0,A few times per week,3,1-2 times total,1,15-30 minutes,3,Preparing for final exam;Just curious / playing with it.;,Used VTA,No benefit,No efficiency benefit
61400,Junior,2,High,3.0,A few times per week,3,1-2 times total,1,5-15 minutes,2,Clarifying lecture concepts;Preparing for midterms;,Used VTA,No benefit,Efficiency benefit
68147,Senior,3,High,3.0,A few times per semester,1,A few times per month,2,15-30 minutes,3,Clarifying homework problems before attempting them;Checking or debugging my homework solutions;,Used VTA,No benefit,Efficiency benefit
28499,Senior,3,Moderate,2.0,Daily or almost daily,4,Never,0,Less than 5 minutes,1,Just curious / playing with it.;,Never / Unaware,No benefit,No efficiency benefit
61121,Junior,2,Moderate,2.0,A few times per week,3,Never,0,5-15 minutes,2,Clarifying lecture concepts;Checking or debugging my homework solutions;Preparing for midterms;Preparing for final exam;,Never / Unaware,No benefit,No efficiency benefit
